iter	Logloss
0	0.6838230313
1	0.6744826765
2	0.6664181996
3	0.6580373086
4	0.6496537876
5	0.6418397472
6	0.634516021
7	0.6280180431
8	0.6216382559
9	0.6150960968
10	0.6089120316
11	0.6025318396
12	0.5960962789
13	0.5896772802
14	0.5846798284
15	0.5796379628
16	0.5734258549
17	0.5675835223
18	0.5622249084
19	0.5566868424
20	0.5510766863
21	0.5465072074
22	0.5422157309
23	0.5371653114
24	0.5329782583
25	0.5298356567
26	0.5259205726
27	0.5219153563
28	0.5183051123
29	0.5141270015
30	0.509715007
31	0.5072303142
32	0.5044333469
33	0.5017540312
34	0.4988748291
35	0.4958045365
36	0.4933908978
37	0.4905940939
38	0.4878891973
39	0.4853479492
40	0.4826571936
41	0.4801820754
42	0.4774540633
43	0.475412805
44	0.4728138666
45	0.4702431669
46	0.467933588
47	0.4653971537
48	0.4632698669
49	0.4614004428
50	0.459688149
51	0.4579276921
52	0.4559880746
53	0.4543084861
54	0.4533229529
55	0.4517218537
56	0.4503599405
57	0.4483652633
58	0.4464838089
59	0.4450123788
60	0.443565922
61	0.4418630573
62	0.4403550932
63	0.4392812551
64	0.4377601103
65	0.4364115202
66	0.4349863362
67	0.4333335035
68	0.4317668741
69	0.4304998131
70	0.4290480604
71	0.4277954445
72	0.4266525035
73	0.4251422494
74	0.4240498203
75	0.4228403553
76	0.4214319881
77	0.4205928524
78	0.4196573075
79	0.4184062446
80	0.417368637
81	0.4164466209
82	0.415637847
83	0.4149269283
84	0.4139403986
85	0.4128201938
86	0.412002054
87	0.4112076932
88	0.4104990874
89	0.4095684861
90	0.4091077208
91	0.408620314
92	0.4078556341
93	0.4067584463
94	0.4065564789
95	0.4055926812
96	0.4046886995
97	0.4040895602
98	0.4033456123
99	0.402501675
100	0.4014933534
101	0.4007799647
102	0.4002750586
103	0.40001464
104	0.3994839024
105	0.3990061738
106	0.3984334522
107	0.3980694633
108	0.3976259503
109	0.3969492571
110	0.3964161557
111	0.395892707
112	0.3954698488
113	0.3947020951
114	0.3943625732
115	0.3938921268
116	0.3930651125
117	0.3928022139
118	0.392290173
119	0.3917087411
120	0.3914542454
121	0.3907881902
122	0.3904830893
123	0.3896842684
124	0.3891387432
125	0.3886216257
126	0.3880248419
127	0.3874082636
128	0.386948149
129	0.3868291295
130	0.3865067166
131	0.3860826138
132	0.3855792428
133	0.3853118497
134	0.38485401
135	0.3844380065
136	0.3841928703
137	0.3837148632
138	0.3834480915
139	0.3829805377
140	0.3826888395
141	0.382467961
142	0.3821795121
143	0.3820114682
144	0.3816318149
145	0.3812164415
146	0.3808329082
147	0.3806014015
148	0.3800255499
149	0.379636306
150	0.3791953164
151	0.3787171925
152	0.3784087621
153	0.378255447
154	0.3779238691
155	0.3775150155
156	0.3771509825
157	0.3768640701
158	0.3763793353
159	0.3762001177
160	0.3760345138
161	0.375608193
162	0.37526544
163	0.3747815829
164	0.3745767961
165	0.374456988
166	0.3742536279
167	0.3738655709
168	0.3735137901
169	0.3733238734
170	0.3730749616
171	0.372710163
172	0.3721912956
173	0.3719658358
174	0.37166008
175	0.3715339335
176	0.3712887018
177	0.3711074865
178	0.3708076658
179	0.3704578681
180	0.3702097141
181	0.3699558455
182	0.3698322597
183	0.3695301889
184	0.3691959942
185	0.3689815104
186	0.3687448504
187	0.3684585769
188	0.3681957804
189	0.367981546
190	0.3678844659
191	0.3676676784
192	0.3674394672
193	0.367214818
194	0.3669368347
195	0.3666383956
196	0.3664295472
197	0.3661915955
198	0.3658873381
199	0.3654856624
200	0.365122076
201	0.364912651
202	0.364738918
203	0.364509539
204	0.3642685557
205	0.3640437862
206	0.3639672355
207	0.3637304956
208	0.363508408
209	0.3632307858
210	0.3630546674
211	0.3629279068
212	0.362554563
213	0.3624448791
214	0.3622355675
215	0.3620071108
216	0.3619535302
217	0.3615296462
218	0.3613313965
219	0.3610843069
220	0.3608390223
221	0.3605971055
222	0.3604716611
223	0.3601163748
224	0.3598923551
225	0.3596230918
226	0.359230079
227	0.3591455846
228	0.3588739457
229	0.3586159773
230	0.3585093745
231	0.3583084415
232	0.3581664946
233	0.3580440532
234	0.3579177252
235	0.3576194091
236	0.3574580824
237	0.3573437011
238	0.3572719028
239	0.3569923173
240	0.3567144559
241	0.3565107573
242	0.3562445868
243	0.356043405
244	0.3558404771
245	0.3556251466
246	0.3554543642
247	0.3553618145
248	0.3552771154
249	0.3551909052
250	0.355060903
251	0.3548765059
252	0.3546630788
253	0.354466295
254	0.3542158353
255	0.3540285411
256	0.3539842779
257	0.3538461641
258	0.3536141965
259	0.3532399305
260	0.3531889587
261	0.3530932201
262	0.3528306226
263	0.3525995026
264	0.3523895833
265	0.3521884234
266	0.3520847862
267	0.351866677
268	0.3517633729
269	0.3515759484
270	0.3513893623
271	0.35121413
272	0.3509940552
273	0.3507631863
274	0.3506785185
275	0.3505815494
276	0.3503957954
277	0.3503370621
278	0.3501978885
279	0.3499861412
280	0.3499000847
281	0.3495915485
282	0.349298947
283	0.3491805981
284	0.3489608077
285	0.348788858
286	0.3486028945
287	0.3485122111
288	0.3482774068
289	0.3481848201
290	0.3481097461
291	0.3479836125
292	0.3477547236
293	0.3475701426
294	0.3472611925
295	0.3471950726
296	0.3469958228
297	0.3468679884
298	0.3467511301
299	0.3465120701
300	0.3464361228
301	0.3459846244
302	0.3456994032
303	0.3455077663
304	0.345378074
305	0.3451840574
306	0.345020128
307	0.3449105341
308	0.3447448923
309	0.3446658869
310	0.34461166
311	0.3444528261
312	0.3441618928
313	0.3439845506
314	0.3438370408
315	0.3437111092
316	0.3435727673
317	0.3432726759
318	0.3430996386
319	0.3430455698
320	0.3428316804
321	0.3426527558
322	0.3425365215
323	0.3424729615
324	0.3424068454
325	0.3420628161
326	0.3418555794
327	0.3417570141
328	0.3415444025
329	0.3414628492
330	0.341299273
331	0.3412201981
332	0.3411258917
333	0.3410463946
334	0.3409435908
335	0.3408249865
336	0.3407205901
337	0.3406092624
338	0.3404193394
339	0.3403264367
340	0.3402713752
341	0.3402023606
342	0.3400671551
343	0.33997538
344	0.3398783284
345	0.3397796982
346	0.3396429701
347	0.3396072805
348	0.3393479962
349	0.3391671034
350	0.3390350773
351	0.3389824267
352	0.3388665683
353	0.3387937847
354	0.3385765831
355	0.3383349705
356	0.338246652
357	0.3380198626
358	0.3378535199
359	0.3377797645
360	0.337585659
361	0.3375267872
362	0.3372809759
363	0.3371753835
364	0.3371147727
365	0.3369750536
366	0.3368351721
367	0.336807082
368	0.3367324801
369	0.336532006
370	0.3364439653
371	0.3362418692
372	0.3361382568
373	0.3360969099
374	0.3358918495
375	0.3358014042
376	0.3357793226
377	0.33572886
378	0.3356020319
379	0.3355805009
380	0.3354712119
381	0.3352387581
382	0.3350776079
383	0.3348284378
384	0.3346557041
385	0.3343832516
386	0.3342584019
387	0.3340464832
388	0.3338525886
389	0.3337773987
390	0.333614175
391	0.3335041753
392	0.3334068009
393	0.3333334691
394	0.3331637641
395	0.3330136768
396	0.3329166517
397	0.3328662101
398	0.3327011186
399	0.3326740652
400	0.3326030205
401	0.3325630072
402	0.332447265
403	0.332325921
404	0.332239775
405	0.3321949271
406	0.3321573362
407	0.3320425411
408	0.3320192312
409	0.3319366401
410	0.331716583
411	0.3316329602
412	0.331535214
413	0.3314572353
414	0.3310183397
415	0.3308822378
416	0.330852216
417	0.3307259706
418	0.3306091861
419	0.3305802694
420	0.3305115393
421	0.3304291531
422	0.3302874519
423	0.3301215641
424	0.3300139706
425	0.3299115347
426	0.3297834474
427	0.3297669659
428	0.3295235941
429	0.3294885309
430	0.3292641687
431	0.3292120477
432	0.3291181056
433	0.329040177
434	0.3289494462
435	0.3288890374
436	0.3288106504
437	0.3287400501
438	0.3286215005
439	0.3284294696
440	0.3282593646
441	0.3280792425
442	0.3280429716
443	0.328003595
444	0.3279064259
445	0.3278246872
446	0.327663414
447	0.327632409
448	0.3275901831
449	0.3274204843
450	0.3270433665
451	0.3268820941
452	0.3267937265
453	0.3265456059
454	0.3263843213
455	0.3263384093
456	0.326296627
457	0.3262786744
458	0.3261440174
459	0.3260728824
460	0.3259647342
461	0.3259313725
462	0.3257736935
463	0.3256369454
464	0.3255849169
465	0.3254696243
466	0.3253177136
467	0.3251702036
468	0.3249911972
469	0.324945647
470	0.3248898967
471	0.3247244006
472	0.3244919866
473	0.3244636797
474	0.3243725025
475	0.3243179932
476	0.3242940274
477	0.324196299
478	0.3241724005
479	0.3240905527
480	0.3240463685
481	0.3237124924
482	0.3235844132
483	0.323384624
484	0.3232744678
485	0.3230602271
486	0.323025151
487	0.3229511361
488	0.3228694041
489	0.3227747329
490	0.3226084332
491	0.3225458779
492	0.3224198474
493	0.3221936222
494	0.3220766909
495	0.3220407614
496	0.322012283
497	0.3216429848
498	0.3216052744
499	0.3215659291
500	0.3213398787
501	0.3211196168
502	0.3209927897
503	0.3207869753
504	0.3207540794
505	0.320577413
506	0.3204095736
507	0.3203684387
508	0.320162572
509	0.3200744719
510	0.3199834718
511	0.3199547466
512	0.3196239884
513	0.3195866619
514	0.3195310385
515	0.3194903098
516	0.3194593502
517	0.3194193951
518	0.3193785203
519	0.319284742
520	0.3192484762
521	0.319227793
522	0.3190882425
523	0.3190653982
524	0.318952855
525	0.3188100928
526	0.3186258306
527	0.3186039411
528	0.3185772326
529	0.3185494888
530	0.3185257951
531	0.318431295
532	0.3182638353
533	0.3181928125
534	0.3180358336
535	0.3179939886
536	0.3179695395
537	0.3178523366
538	0.317829097
539	0.3177792002
540	0.3177278009
541	0.3176596957
542	0.3175234493
543	0.3174964184
544	0.317312102
545	0.3172902827
546	0.3170893009
547	0.3170663222
548	0.3169517424
549	0.3168230577
550	0.3167894361
551	0.3167645325
552	0.3165004758
553	0.3164789968
554	0.3164455673
555	0.316251653
556	0.3160688161
557	0.3160424718
558	0.3159211053
559	0.3156260566
560	0.3154453365
561	0.3153474168
562	0.3153262983
563	0.3152147856
564	0.3151151065
