iter	Passed	Remaining
0	0	697
1	0	497
2	1	478
3	1	456
4	2	437
5	2	423
6	2	415
7	3	407
8	3	394
9	3	390
10	4	387
11	4	383
12	5	379
13	5	377
14	5	375
15	6	372
16	6	370
17	6	368
18	7	366
19	7	365
20	7	364
21	8	362
22	8	361
23	8	360
24	9	359
25	9	358
26	9	357
27	10	356
28	10	355
29	10	354
30	11	354
31	11	353
32	12	352
33	12	352
34	12	351
35	13	350
36	13	349
37	13	348
38	14	347
39	14	347
40	14	345
41	14	341
42	15	340
43	15	340
44	15	336
45	16	334
46	16	333
47	16	333
48	17	333
49	17	332
50	17	332
51	18	332
52	18	331
53	18	329
54	19	329
55	19	328
56	19	328
57	20	328
58	20	327
59	20	327
60	21	324
61	21	324
62	21	324
63	22	324
64	22	323
65	22	323
66	23	323
67	23	320
68	23	320
69	24	320
70	24	319
71	24	319
72	25	319
73	25	319
74	25	318
75	26	318
76	26	318
77	26	317
78	27	317
79	27	316
80	27	315
81	28	315
82	28	315
83	28	314
84	29	314
85	29	314
86	29	312
87	30	312
88	30	312
89	30	312
90	31	312
91	31	311
92	31	311
93	32	311
94	32	311
95	33	310
96	33	310
97	33	310
98	36	331
99	36	331
100	37	330
101	37	330
102	37	329
103	38	329
104	38	329
105	38	328
106	39	328
107	39	327
108	40	327
109	40	326
110	40	326
111	41	325
112	41	325
113	41	324
114	42	324
115	42	323
116	42	323
117	43	322
118	43	322
119	43	322
120	44	321
121	44	321
122	44	320
123	45	324
124	46	324
125	46	323
126	47	323
127	47	323
128	47	321
129	47	321
130	48	320
131	48	320
132	48	319
133	49	318
134	49	318
135	50	317
136	50	317
137	50	316
138	51	316
139	51	316
140	51	315
141	52	315
142	52	314
143	52	314
144	53	313
145	53	313
146	53	312
147	54	312
148	54	311
149	54	311
150	55	311
151	55	310
152	56	310
153	56	309
154	56	309
155	57	309
156	57	308
157	57	308
158	58	307
159	58	307
160	58	306
161	59	306
162	59	306
163	59	305
164	60	305
165	60	304
166	61	304
167	61	303
168	61	303
169	62	303
170	62	302
171	62	302
172	63	301
173	63	301
174	63	301
175	64	300
176	64	300
177	64	299
178	65	299
179	65	299
180	66	298
181	66	298
182	66	297
183	67	297
184	67	296
185	67	296
186	68	296
187	68	295
188	68	295
189	69	294
190	69	294
191	69	294
192	70	293
193	70	293
194	70	292
195	71	292
196	71	291
197	71	291
198	72	290
199	72	289
200	72	289
201	73	289
202	73	288
203	73	288
204	74	287
205	74	287
206	74	287
207	75	286
208	75	286
209	75	285
210	76	284
211	76	284
212	76	284
213	77	283
214	77	283
215	77	282
216	78	282
217	78	282
218	79	281
219	79	281
220	79	280
221	80	280
222	80	280
223	80	279
224	81	279
225	81	279
226	81	278
227	82	278
228	82	277
229	82	277
230	83	277
231	83	276
232	83	276
233	84	276
234	84	275
235	85	275
236	85	274
237	85	274
238	86	273
239	86	273
240	86	273
241	87	272
242	87	272
243	87	272
244	88	271
245	88	271
246	88	270
247	89	270
248	89	270
249	89	269
250	90	269
251	90	268
252	90	268
253	91	268
254	91	267
255	91	267
256	92	266
257	92	266
258	92	265
259	93	265
260	93	264
261	93	264
262	94	263
263	94	263
264	94	263
265	95	262
266	95	262
267	95	261
268	96	261
269	96	261
270	96	260
271	97	260
272	97	260
273	97	259
274	98	259
275	98	258
276	99	258
277	99	258
278	99	257
279	100	257
280	100	257
281	100	256
282	101	256
283	101	255
284	101	255
285	102	255
286	102	254
287	102	254
288	103	253
289	103	253
290	103	253
291	104	252
292	104	252
293	104	251
294	105	251
295	105	251
296	105	250
297	106	250
298	106	250
299	106	249
300	107	249
301	107	248
302	107	248
303	108	248
304	108	247
305	109	247
306	109	246
307	109	246
308	110	246
309	110	245
310	110	245
311	111	245
312	111	244
313	111	244
314	112	243
315	112	243
316	112	243
317	113	242
318	113	242
319	113	241
320	114	241
321	114	241
322	114	240
323	115	240
324	115	240
325	115	239
326	116	239
327	116	238
328	116	238
329	117	238
330	117	237
331	118	237
332	118	237
333	118	236
334	119	236
335	119	236
336	119	235
337	120	235
338	120	234
339	120	234
340	121	234
341	121	233
342	121	233
343	122	232
344	122	232
345	122	232
346	123	231
347	123	231
348	123	231
349	124	230
350	124	230
351	124	230
352	125	229
353	125	229
354	126	228
355	126	228
356	126	228
357	127	227
358	127	227
359	127	227
360	128	226
361	128	226
362	128	226
363	129	225
364	129	225
365	129	225
366	130	224
367	130	224
368	130	224
369	131	223
370	131	223
371	132	222
372	132	222
373	132	221
374	132	221
375	133	221
376	133	220
377	134	220
378	134	220
379	134	219
380	135	219
381	135	219
382	135	218
383	136	218
384	136	218
385	136	217
386	137	217
